fid1,iid1,fid2,iid2,m,ibd0,ibd1,ibd2
AFWO3422,AFWO3422,GAAB2312,GAAB2312,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,SEBI1501,SEBI1501,3.41888982477445,0.813,0.187,0
AFWO3422,AFWO3422,SEBI1502,SEBI1502,2.21424022557299,0.569,0.431,0
AFWO3422,AFWO3422,SEBI1503,SEBI1503,3.41888982477445,0.813,0.187,0
AFWO3422,AFWO3422,SEBI1504,SEBI1504,20,1,0,0
AFWO3422,AFWO3422,SEBI1506,SEBI1506,2.76611193982572,0.706,0.294,0
AFWO3422,AFWO3422,SEBI1507,SEBI1507,2.21424022557299,0.569,0.431,0
AFWO3422,AFWO3422,SEBI1508,SEBI1508,20,1,0,0
AFWO3422,AFWO3422,SEBI1509,SEBI1509,20,1,0,0
AFWO3422,AFWO3422,SEBI1510,SEBI1510,3.41888982477445,0.813,0.187,0
AFWO3422,AFWO3422,SEBI1511,SEBI1511,20,1,0,0
AFWO3422,AFWO3422,SEBI1512,SEBI1512,20,1,0,0
AFWO3422,AFWO3422,SEBI1513,SEBI1513,2.21424022557299,0.569,0.431,0
AFWO3422,AFWO3422,SEBI1514,SEBI1514,20,1,0,0
AFWO3422,AFWO3422,SEBI1515,SEBI1515,2.89969509420431,0.732,0.268,0
AFWO3422,AFWO3422,SEBI1516,SEBI1516,2.89969509420431,0.732,0.268,0
AFWO3422,AFWO3422,SEBI1518,SEBI1518,20,1,0,0
AFWO3422,AFWO3422,SEBI1520,SEBI1520,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,SEBI1521,SEBI1521,2.51457317282976,0.65,0.35,0
AFWO3422,AFWO3422,SEBI1522,SEBI1522,20,1,0,0
AFWO3422,AFWO3422,SEBI1523,SEBI1523,20,1,0,0
AFWO3422,AFWO3422,SEBI1524,SEBI1524,3.41888982477445,0.813,0.187,0
AFWO3422,AFWO3422,SEBI1525,SEBI1525,2.89969509420431,0.732,0.268,0
AFWO3422,AFWO3422,SEBI1526,SEBI1526,20,1,0,0
AFWO3422,AFWO3422,SEBI1527,SEBI1527,20,1,0,0
AFWO3422,AFWO3422,SEBI1528,SEBI1528,20,1,0,0
AFWO3422,AFWO3422,SEBI1529,SEBI1529,1.96578428466209,0.488,0.512,0
AFWO3422,AFWO3422,SEBI1530,SEBI1530,1.75146516386132,0.406,0.594,0
AFWO3422,AFWO3422,SEBI1531,SEBI1531,1.56704059272389,0.325,0.675,0
AFWO3422,AFWO3422,SEBI1532,SEBI1532,1.96578428466209,0.488,0.512,0
AFWO3422,AFWO3422,SEBI1533,SEBI1533,3.41888982477445,0.813,0.187,0
AFWO3422,AFWO3422,SEBI1534,SEBI1534,20,1,0,0
AFWO3422,AFWO3422,SEBI1535,SEBI1535,2.89969509420431,0.732,0.268,0
AFWO3422,AFWO3422,SEBI1536,SEBI1536,20,1,0,0
AFWO3422,AFWO3422,SEBI1537,SEBI1537,2.89969509420431,0.732,0.268,0
AFWO3422,AFWO3422,SEBI1538,SEBI1538,3.41888982477445,0.813,0.187,0
AFWO3422,AFWO3422,SEBI1539,SEBI1539,20,1,0,0
AFWO3422,AFWO3422,SEBI1540,SEBI1540,20,1,0,0
AFWO3422,AFWO3422,SEBI1541,SEBI1541,2.21424022557299,0.569,0.431,0
AFWO3422,AFWO3422,SEBI1542,SEBI1542,2.89969509420431,0.732,0.268,0
AFWO3422,AFWO3422,SEBI1543,SEBI1543,20,1,0,0
AFWO3422,AFWO3422,SEBI1544,SEBI1544,2.51457317282976,0.65,0.35,0
AFWO3422,AFWO3422,SEBI1545,SEBI1545,1.40354186044101,0.244,0.756,0
AFWO3422,AFWO3422,SEBI1546,SEBI1546,20,1,0,0
AFWO3422,AFWO3422,SEBI1547,SEBI1547,20,1,0,0
AFWO3422,AFWO3422,SEBI1548,SEBI1548,2.89969509420431,0.732,0.268,0
AFWO3422,AFWO3422,SEBI1549,SEBI1549,3.41888982477445,0.813,0.187,0
AFWO3422,AFWO3422,SEBI1550,SEBI1550,20,1,0,0
AFWO3422,AFWO3422,SEBI1551,SEBI1551,20,1,0,0
AFWO3422,AFWO3422,SEBI1552,SEBI1552,4.23786383009889,0.894,0.106,0
AFWO3422,AFWO3422,SEBI1553,SEBI1553,20,1,0,0
AFWO3422,AFWO3422,SEBI1554,SEBI1554,2.89969509420431,0.732,0.268,0
AFWO3422,AFWO3422,SEBI1555,SEBI1555,1.56704059272389,0.325,0.675,0
AFWO3422,AFWO3422,SEBI1556,SEBI1556,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,SEBI1557,SEBI1557,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,SEBI1558,SEBI1558,20,1,0,0
AFWO3422,AFWO3422,SEBI1559,SEBI1559,4.23786383009889,0.894,0.106,0
AFWO3422,AFWO3422,SEBI1560,SEBI1560,2.89969509420431,0.732,0.268,0
AFWO3422,AFWO3422,SEBI1561,SEBI1561,1.75146516386132,0.406,0.594,0
AFWO3422,AFWO3422,SEBI1562,SEBI1562,20,1,0,0
AFWO3422,AFWO3422,SEBI1564,SEBI1564,3.41888982477445,0.813,0.187,0
AFWO3422,AFWO3422,SEBI1565,SEBI1565,20,1,0,0
AFWO3422,AFWO3422,SEBI1566,SEBI1566,4.23786383009889,0.894,0.106,0
AFWO3422,AFWO3422,SEBI1567,SEBI1567,20,1,0,0
AFWO3422,AFWO3422,SEBI1568,SEBI1568,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,SEBI1569,SEBI1569,1.96578428466209,0.488,0.512,0
AFWO3422,AFWO3422,SEBI1570,SEBI1570,2.16165326347877,0.553,0.447,0
AFWO3422,AFWO3422,SEBI1571,SEBI1571,4.0350469470992,0.878,0.122,0
AFWO3422,AFWO3422,SEBI1572,SEBI1572,20,1,0,0
AFWO3422,AFWO3422,SEBI1573,SEBI1573,20,1,0,0
AFWO3422,AFWO3422,SEBI1574,SEBI1574,20,1,0,0
AFWO3422,AFWO3422,SEBI1575,SEBI1575,2.89969509420431,0.732,0.268,0
AFWO3422,AFWO3422,SEBI1576,SEBI1576,1.37145968073724,0.227,0.773,0
AFWO3422,AFWO3422,SEBI1577,SEBI1577,2.89969509420431,0.732,0.268,0
AFWO3422,AFWO3422,SEBI1578,SEBI1578,20,1,0,0
AFWO3422,AFWO3422,SEBI1579,SEBI1579,3.41888982477445,0.813,0.187,0
AFWO3422,AFWO3422,SEBI1580,SEBI1580,20,1,0,0
AFWO3422,AFWO3422,SEBI1581,SEBI1581,20,1,0,0
AFWO3422,AFWO3422,SEBI1582,SEBI1582,20,1,0,0
AFWO3422,AFWO3422,SEBI1583,SEBI1583,4.23786383009889,0.894,0.106,0
AFWO3422,AFWO3422,SEBI1584,SEBI1584,4.23786383009889,0.894,0.106,0
AFWO3422,AFWO3422,SEBI1585,SEBI1585,20,1,0,0
AFWO3422,AFWO3422,SEBI1586,SEBI1586,1.96578428466209,0.488,0.512,0
AFWO3422,AFWO3422,SEBI1587,SEBI1587,2.21424022557299,0.569,0.431,0
AFWO3422,AFWO3422,SEBI1588,SEBI1588,20,1,0,0
AFWO3422,AFWO3422,SEBI1589,SEBI1589,2.51457317282976,0.65,0.35,0
AFWO3422,AFWO3422,SEBI1590,SEBI1590,3.41888982477445,0.813,0.187,0
AFWO3422,AFWO3422,SEBI1591,SEBI1591,20,1,0,0
AFWO3422,AFWO3422,SEBI1592,SEBI1592,20,1,0,0
AFWO3422,AFWO3422,SILR5500,SILR5500,4.09541956507868,0.883,0.117,0
AFWO3422,AFWO3422,SILR5501,SILR5501,4.09541956507868,0.883,0.117,0
AFWO3422,AFWO3422,SILR5502,SILR5502,3.41888982477445,0.813,0.187,0
AFWO3422,AFWO3422,SILR5503,SILR5503,4.09541956507868,0.883,0.117,0
AFWO3422,AFWO3422,SILR5504,SILR5504,20,1,0,0
AFWO3422,AFWO3422,SILR5505,SILR5505,2.89969509420431,0.732,0.268,0
AFWO3422,AFWO3422,SILR5506,SILR5506,1.68269593163809,0.377,0.623,0
AFWO3422,AFWO3422,SILR5507,SILR5507,20,1,0,0
AFWO3422,AFWO3422,SILR5508,SILR5508,20,1,0,0
AFWO3422,AFWO3422,SILR5510,SILR5510,2.89969509420431,0.732,0.268,0
AFWO3422,AFWO3422,SILR5511,SILR5511,20,1,0,0
AFWO3422,AFWO3422,SILR5513,SILR5513,2.21424022557299,0.569,0.431,0
AFWO3422,AFWO3422,SILR5514,SILR5514,2.21424022557299,0.569,0.431,0
AFWO3422,AFWO3422,SILR5515,SILR5515,20,1,0,0
AFWO3422,AFWO3422,SILR5516,SILR5516,2.89969509420431,0.732,0.268,0
AFWO3422,AFWO3422,SILR5517,SILR5517,20,1,0,0
AFWO3422,AFWO3422,SILR5518,SILR5518,2.89969509420431,0.732,0.268,0
AFWO3422,AFWO3422,SILR5519,SILR5519,20,1,0,0
AFWO3422,AFWO3422,SILR5520,SILR5520,2.21424022557299,0.569,0.431,0
AFWO3422,AFWO3422,SILR5521,SILR5521,2.21424022557299,0.569,0.431,0
AFWO3422,AFWO3422,SNDI071887,SNDI071887,2.89969509420431,0.732,0.268,0
AFWO3422,AFWO3422,SNDI071888,SNDI071888,20,1,0,0
AFWO3422,AFWO3422,SNDI071889,SNDI071889,20,1,0,0
AFWO3422,AFWO3422,SNDI071891,SNDI071891,20,1,0,0
AFWO3422,AFWO3422,SNDI071892,SNDI071892,20,1,0,0
AFWO3422,AFWO3422,SNDI071893,SNDI071893,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,SNDI071894,SNDI071894,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,SNDI071895,SNDI071895,20,1,0,0
AFWO3422,AFWO3422,SNDI071896,SNDI071896,20,1,0,0
AFWO3422,AFWO3422,SNDI071897,SNDI071897,4.23786383009889,0.894,0.106,0
AFWO3422,AFWO3422,SNDI071898,SNDI071898,3.77595972578207,0.854,0.146,0
AFWO3422,AFWO3422,SNDI071899,SNDI071899,20,1,0,0
AFWO3422,AFWO3422,SNDI071900,SNDI071900,2.89969509420431,0.732,0.268,0
AFWO3422,AFWO3422,SNDI071901,SNDI071901,20,1,0,0
AFWO3422,AFWO3422,SNDI071902,SNDI071902,2.51457317282976,0.65,0.35,0
AFWO3422,AFWO3422,SNDI071903,SNDI071903,4.23786383009889,0.894,0.106,0
AFWO3422,AFWO3422,SNDI071904,SNDI071904,20,1,0,0
AFWO3422,AFWO3422,SNDI071905,SNDI071905,2.51457317282976,0.65,0.35,0
AFWO3422,AFWO3422,SNDI071906,SNDI071906,2.21424022557299,0.569,0.431,0
